Dataset_title,Creator,Dataset_link
Most Streamed Spotify Songs 2024,Nidula Elgiriyewithana ⚡,https://www.kaggle.com/datasets/nelgiriyewithana/most-streamed-spotify-songs-2024
Data Developer Salary in 2024💰,Zee solver,https://www.kaggle.com/datasets/zeesolver/data-eng-salary-2024
Food Nutrition Dataset,Utsav Dey,https://www.kaggle.com/datasets/utsavdey1410/food-nutrition-dataset
Flight Price Prediction,Vivek Sharma R,https://www.kaggle.com/datasets/viveksharmar/flight-price-data
Lung Cancer Dataset,Akash Nath,https://www.kaggle.com/datasets/akashnath29/lung-cancer-dataset
Big Tech Giants Stock Price Data,Umer Haddii,https://www.kaggle.com/datasets/umerhaddii/big-tech-giants-stock-price-data
powerlifting-database,DanB,https://www.kaggle.com/datasets/dansbecker/powerlifting-database
Retail Analysis on Large Dataset,Sahil Prajapati,https://www.kaggle.com/datasets/sahilprajapati143/retail-analysis-large-dataset
Exploring E-commerce Trends⭐️⭐️⭐️,Muhammad Roshan Riaz,https://www.kaggle.com/datasets/muhammadroshaanriaz/e-commerce-trends-a-guide-to-leveraging-dataset
Customer Churn Prediction,Rashad Mammadov,https://www.kaggle.com/datasets/rashadrmammadov/customer-churn-dataset
CRITEO FAIRNESS IN JOB ADS DATASET,Md. Abdur Rahman,https://www.kaggle.com/datasets/borhanitrash/fairness-in-job-ads-dataset
Social Media Usage and Emotional Well-Being,EMİRHAN BULUT,https://www.kaggle.com/datasets/emirhanai/social-media-usage-and-emotional-well-being
ARC solution source files by icecuber,Hansueli Jud,https://www.kaggle.com/datasets/hansuelijud/arc-solution-source-files-by-icecuber
Mental Health Dataset,JIS College of Engineering,https://www.kaggle.com/datasets/jiscecseaiml/mental-health-dataset
County Tuition Assistance Program,Sahir Maharaj,https://www.kaggle.com/datasets/sahirmaharajj/county-tuition-assistance-program
Regression Dataset for Household Income Analysis,Umair Zia,https://www.kaggle.com/datasets/stealthtechnologies/regression-dataset-for-household-income-analysis
Data Science Jobs & Salaries 2024,Ritik Sharma,https://www.kaggle.com/datasets/ritiksharma07/data-science-job-listings-from-glassdoor
AI Computation & Hardware Trends,hrterhrter,https://www.kaggle.com/datasets/programmerrdai/ai-computation-and-hardware-trends
Phishing Email Dataset,Naser Abdullah Alam,https://www.kaggle.com/datasets/naserabdullahalam/phishing-email-dataset
MegaMarket,AleXXL,https://www.kaggle.com/datasets/alexxl/megamarket
